Course,Number,Section,Title,A,B,C,D,F,P,F(P),W,Instructor,Honors,CourseId,Year
NURS,8080,400,Nurs Res Stat Analys,0.63,0.33,0.03,0.0,0.0,0.0,0.0,0.0,Veronica Parker,,NURS-8080,2018
NURS,8080,401,Nurs Res Stat Analys,0.68,0.2,0.12,0.0,0.0,0.0,0.0,0.0,Veronica Parker,,NURS-8080,2018
NURS,8190,400,Developing Family,0.88,0.13,0.0,0.0,0.0,0.0,0.0,0.0,Lisa Miller,,NURS-8190,2018
NURS,8200,400,Child & Adol Nursing,0.25,0.46,0.21,0.0,0.08,0.0,0.0,0.0,Heide Temples,,NURS-8200,2018
NURS,8210,400,Adult Nursing,0.41,0.48,0.07,0.0,0.04,0.0,0.0,0.0,Tracy Fasolino,,NURS-8210,2018
NURS,8210,401,Adult Nursing,0.43,0.52,0.04,0.0,0.0,0.0,0.0,0.0,Tracy Fasolino,,NURS-8210,2018
NURS,8230,400,NP Clinical Practicum,0.98,0.02,0.0,0.0,0.0,0.0,0.0,0.0,Rosanne Pruitt,,NURS-8230,2018
NURS,8270,400,Nurs Education Found,0.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,Roxanne Amerson,,NURS-8270,2018
NURS,8840,400,Adult Mental Health,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Lindsey Garrard,,NURS-8840,2018
NURS,8850,400,Mental Health in Primary Care,0.79,0.21,0.0,0.0,0.0,0.0,0.0,0.0,Lindsey Garrard,,NURS-8850,2018
NUTR,2030,001,Intro Princ of Human Nutrition,0.56,0.33,0.05,0.01,0.02,0.0,0.0,0.02,Elizabeth Durrance,,NUTR-2030,2018
NUTR,2030,002,Intro Princ of Human Nutrition,0.88,0.13,0.0,0.0,0.0,0.0,0.0,0.0,Elizabeth Durrance,,NUTR-2030,2018
NUTR,2040,001,Nutrition Across Life Cycle,0.79,0.18,0.0,0.0,0.0,0.0,0.0,0.03,Bridgit Corbett,,NUTR-2040,2018
NUTR,4200,001,Food and Culture,0.83,0.17,0.0,0.0,0.0,0.0,0.0,0.0,Bridgit Corbett,,NUTR-4200,2018
NUTR,4250,001,Medica Nutr Thera II,0.57,0.4,0.03,0.0,0.0,0.0,0.0,0.0,Vivian Haley-Zitlin,,NUTR-4250,2018
NUTR,4260,001,Community Nutrition,0.76,0.22,0.02,0.0,0.0,0.0,0.0,0.0,Bridgit Corbett,,NUTR-4260,2018
NUTR,4270,001,Nutrition Counseling,0.59,0.23,0.18,0.0,0.0,0.0,0.0,0.0,Elizabeth Durrance,,NUTR-4270,2018
NUTR,4550,001,Human Nutr & Metabolism II,0.67,0.12,0.12,0.09,0.0,0.0,0.0,0.0,Elliot Jesch,,NUTR-4550,2018
PA,2790,001,Perf Arts Pract I,0.6,0.13,0.07,0.0,0.07,0.0,0.0,0.13,Kenneth Moore,,PA-2790,2018
PA,2800,001,Perf Arts Pract II,0.75,0.08,0.17,0.0,0.0,0.0,0.0,0.0,Kenneth Moore,,PA-2800,2018
